idea_name,description,general_benefits,region,submitted_estimate,service_line,category,original,actual_benefits_wc,actual_benefits_savings,expert_overview,expert_ease_implementation,expert_scalability,expert_crowd_validation,expert_weighted_avg,judge_overview,judge_ease_implementation,judge_scalability,judge_crowd_validation,judge_weighted_avg,chatgpt_distruption_overview,chatgpt_ease_implementation,chatgpt_scalability,chatgpt_benefits,chatgpt_rationale,finalist,winner
Changing Payment terms in SAP for Citi Card Payments,As K-C was paying Citi Bank all Credit Card Transactions in the soonest payment run from Concur processing we were losing a lot of working Capital as some of them were paid week after purchase and not 55 days as per our Payment Terms. Now we have finished test phase and implemented payment terms to pay them near the due date (Separate transactions from Expense Claim Posting),We have managed to separate transactions from entire Expense Claim posting and now they are scheduled for payment after 45 days from the transaction date so we are saving a lot of Working Capital with paying near to due date. As Estimated we are going to save around 408 K USD per year,EMEA,408000,PTP,AP-Payment Terms,1,0,0,3,6,10,4,6,3,6,10,4,6,1,1,4,4," The idea proposes to implement payment terms to pay Citi Bank credit card transactions near the due date to save working capital. While the idea is easy to implement, it has a low disruption overview and is more country-specific. ",0,0
Consignment stock invoice processing,Currently Consignment stock process is performed only partially. VMOI for EMEA is very critical as covers pulp.Invoices are manually booked via MRKO transaction in SAP and then reverse and rebook mostly only from incorrect document date perspective. Often happens that this kind of manual re-postings generate mistakes that has a direct impact on moving Average price and what's more important on P&amp;L. The idea is to implement full SAP Consignment stock process including self billing.,Expected outcome is to have fully automated process where KC will issue self billing invoices on behalf of the Vendor. It will reduce manual work for AP as well as will secure SCF process as most of the Consignment stock Vendors are related to SCF program. On the other hand it will prevent from mistakes that impact Moving Average Price and direct P&amp;L impact.,EMEA,0,PTP,AP-Accounts Payable,1,0,0,6,9,10,5,8,6,9,10,5,8,4,3,4,4," This idea is disruptive as it aims to fully automate the consignment stock process, which is currently only partially automated. The implementation may not be easy due to the need to integrate with SAP, but it is feasible in the mid-term. The idea is applicable globally, which is a plus. The benefits include reducing manual work for AP, securing SCF process, and preventing mistakes that impact Moving Average Price and direct P&amp;L impact. ",0,0
GRIR Cleansing process/new GRIR report,"Before migration, GR/IR balance reporting wasn&rsquo;t complaint with a global standard. There were neither PO analysis nor cleansing process performed. GRIR balance &gt;120 days was $11M .As a result, vendors were not being paid on time, there were financial losses for the company (KC pays without justification, incorrect plans budget) and poor quality of the postings (data mismatch). We have achieved balance reduction for 50%",Savings of 5 WDs of reporting tasks per month  &ndash; introducing new reporting with macroImprove quality of postings and reduce manual task analysisCompliance with global regulations (Threshold clearing as per global regulations) &ndash; improved clearing processReduce time required for postings by AP as well as GRIR difference &ndash; GR reversals controlOpportunity to get money back from the suppliersFinancial Profits for the companyNew report can be implemented of all regions,EMEA,1000000,PTP,AP-GR/IR,1,0,0,3,3,7,5,4,  ,  ,  ,  ,  ,3,3,4,4," This idea aims to improve the quality of postings and reduce manual task analysis. It is not very disruptive, but it is feasible to implement in the mid-term. The idea is applicable globally, which is a plus. The benefits include savings of 5 WDs of reporting tasks per month, compliance with global regulations, improved clearing process, and financial profits for the company. ",0,0
Reducing of duplicates- get credit notes ASAP,"Get for supplier as soon as possible credit notes for wrongly created invoices which cause duplicates payments. Moreover verify the classification process, through which invoices come during approval in order to eliminate as many incorrect approvals as possible on the business side. That should reduce numbers of amounts that supplier owe K-C.  Depending on necessity K-C can deduct posted credit notes from subsequent payments or can request for a cash refund. ",Reducing the amount of outstanding amounts due from the supplier.,EMEA,130000,PTP,AP-Accounts Payable,1,0,0,2,7,7,3,5,  ,  ,  ,  ,  ,2,2,3,3," This idea aims to reduce the amount of outstanding amounts due from the supplier. It is not very disruptive, and the implementation may not be easy due to the need to verify the classification process. The idea is applicable globally, which is a plus. The benefits include reducing the amount of outstanding amounts due from the supplier. ",0,0
With Taulia everybody Win,"Organizing training for existing Taulia users to highlight them how important is uploading invoices on time and encouraging as many suppliers as possible to start using Taulia portal.

We should inform supplier about ""dynamic discounting""-Taulia offers multiple options to get  paid early but pay less.","Once ""dynamic discounting"" will be more often implemented we can try to calculate our outcome .

Taulia owners confirmed that a lot of companies  request early payment to overcome cash flow gaps, have payment predictability and generate working capital to meet their business needs- it can been possibility for our company to get discount and  save money !",EMEA,0,PTP,AP-Accounts Payable,1,0,0,4,5,7,4,5,  ,  ,  ,  ,  ,3,2,4,3," This idea aims to encourage suppliers to use Taulia portal and inform them about dynamic discounting. It is not very disruptive, and the implementation may not be easy due to the need to organize training for existing Taulia users. The idea is applicable globally, which is a plus. The benefits include the possibility of getting discounts and saving money. ",0,0
Cash Captain,Each individual in GBS must be a sponsor of the Global Cash Hackathon. Therefore each one must have a target that can be measured in a weekly bases in the management system meetings.,Improve Cash position in LAO in U$ 10Mio,Global,10000000,GBS OPS,FORCE,1,0,0,10,7,7,10,9,  ,  ,  ,  ,  ,2,2,3,3," This idea aims to improve the cash position in LAO by setting targets for each individual in GBS. It is not very disruptive, and the implementation may not be easy due to the need to measure targets in a weekly basis. The idea is applicable globally, which is a plus. The benefits include improving the cash position in LAO. ",0,0
New Netting Payment Method,Currently Invoices that should be netted with Customer documents are blocked for payment with payment block &lsquo;D&rsquo;. Unfortunately this block is automatically removed after invoice is approved in the invoice workflow. Many times invoice that should be netted was paid just because of this reason.,"After analysis, we have discovered that the best option would be to define a payment method that&rsquo;s used only for netting purposes. This payment method is &lsquo;2&rsquo; and should be named as &lsquo;Vendor netting&rsquo;. Payment method won't get auto removed after any of AP process.",EMEA,150000,Treasury Ops,Treasury Ops,1,0,0,2,7,6,6,5,  ,  ,  ,  ,  ,2,2,3,3," This idea aims to define a payment method that's used only for netting purposes. It is not very disruptive, and the implementation may not be easy due to the need to define a new payment method. The idea is applicable globally, which is a plus. The benefits include preventing invoices that should be netted from being paid. ",0,0
Intercompany Exclusion from FCF Reporting,"Even if Intercompany is fully eliminated at Corporate level, it is included in NSV/COS and PWC therefore impacting FCF results and having our BUs invest time and efforts negotiating payment terms, reporting and analyzing. Idea is to remove InterCo from NSV, COS, Receivables and Payables so that teams focus on what matters, avoiding delaying IC payments, simplifying tracking and forecasting processes, aligning Enterprise /BU priorities while removing regional (and sub) elimination complexity. ",Exclude Intercompany balances from both target setting and actuals tracking allowing our teams to focus on third parties&rsquo; events while simplifying analysis and driving Corporate value,Global,0,Treasury Ops,Intercompany,1,0,0,2,3,10,3,4,  ,  ,  ,  ,  ,4,3,5,4," The idea is innovative and disruptive, as it aims to simplify the tracking and forecasting processes while aligning Enterprise/BU priorities. The implementation may be challenging but feasible in the mid-term. The idea is scalable globally, and it has both quantitative and qualitative benefits. ",0,0
Global Intercompany Policy,"As part of the Intercompany operation centralization, the proposal is to create a single Global Intercompany Policy to enable standardization and simplification across KC Regions  and processes such as standardizing payment terms for Goods (60 days), setting global KPIs, aligning Dispute/Credit/Cash Application management, defining Non Controllable Entities management as well as reporting and visibility.

 ",To align a Global Intercompany Policy which will be the unique guidance ensuring a best in class process is in place together with an standardize and simplified vision cash sub processes,Global,0,RTR,Intercompany,1,0,0,8,9,10,4,8,8,9,10,4,8,3,2,5,4," The idea aims to standardize and simplify the Intercompany operation across KC Regions and processes. It is not entirely new, but it is still innovative and disruptive. The implementation may be challenging, but it is feasible in the mid-term. The idea is scalable globally and has both quantitative and qualitative benefits. ",0,0
Global Pre and Down-paymentsí review,Kimberly Clark has been steadily improving its credit risk score vs. years ago reason why we should heavily focus on reducing and even avoiding the amount of prepayments and down-payments in favor of payment terms. Idea is to promote a Global assessment to evaluate these prepayment terms&rsquo; conditions set up via contract and confirm vs. Masterdata and then with Procurement teams its potential extension to credit terms and leveraging also the Global Vendors to improve Accounts Payables,Reduce pre and down payments to vendors reviewing contracts&rsquo; detail and negotiating with Procurement support. Cash Benefit will be assessed during diagnosis phase.,Global,0,PTP,AP-Payment Terms,1,0,0,4,4,8,1,4,  ,  ,  ,  ,  ,3,3,5,3," The idea aims to reduce and avoid prepayments and down-payments in favor of payment terms. It is not entirely new, but it is still innovative and disruptive. The implementation may be challenging, but it is feasible in the mid-term. The idea is scalable globally, but it lacks quantitative benefits. ",0,0
Improvisation on early payment cash discount approval process in GBS,"To review APAC portfolio under GBS.To review the discount percentage given to existing customers; if payment term already 60 days (i.e with payment term 60I1 and 30D3) should not be entitled discount.Secondly, only to approve those customers paid before due date.Thirdly, to encourage early payment from other customers to entitle the cash discount. To educate sales and customers on aligning back the payment trend behavior of cash discount early settlement.

 ","From Customers' benefit: pay early to get cash discount, build loyalty rel.From KC as supplier: Faster Collection, Lower Overdue. 

Option 1: revised % 

1. For ANZ with 15ID payment term, entitled 2.75% cash discount= USD20m per year. If we revised to lower cash discount to 1.375%, then we will save USD10m per year.

2. For ANZ-Year to date discount disallowed is USD 1m per year.

Option 2: removed % on 60 days term

MY with 60I1 term entitled 1% cash discount = USD50K per year (min calculation only)",APAC,1050000,PTP,AP-Accounts Payable,1,0,7859,10,2,10,10,8,  ,  ,  ,  ,  ,3,3,3,3," The idea aims to encourage early payment from customers to entitle the cash discount. It is not entirely new, but it is still innovative and disruptive. The implementation may be challenging, but it is feasible in the mid-term. The idea is not scalable globally, and it lacks quantitative benefits. ",0,0
"Updating Payment method- documents paid on time, no interest of the late payment","Updating vendor account by an appropriate payment method in order to avoid late payment and get interest. Currently for each separate document Payment Method is assigned what is time consuming, not effective and expose our company to late payment.",Reducing of outstanding invoices and related additional fees.,EMEA,0,PTP,AP-Payment Method,1,0,0,2,9,7,3,5,  ,  ,  ,  ,  ,2,3,3,2," The idea aims to update the vendor account by an appropriate payment method to avoid late payment and get interest. It is not entirely new, and it lacks disruption. The implementation is feasible in the short-term. The idea is not scalable globally, and it lacks quantitative benefits. ",0,0
Payment method review,"During payment method revision on vendors&rsquo; or customers&rsquo; accounts, we could find out that some accounts could be processed in cheaper and faster way. Before revision, all payment method requirements need to be listed. Then vendors accounts could be checked and payment methods could be changed if requirements have been met.","During revision on EMEA, our team started paying via SEPA payment run 100 vendors more than before. SEPA payment run on cc 0677 is processed every week. Change was implemented on 18/02/2020.",EMEA,20000,PTP,AP-Payment Method,1,0,0,2,6,9,3,5,  ,  ,  ,  ,  ,2,3,3,2," The idea aims to find cheaper and faster ways to process payment methods. It is not entirely new, and it lacks disruption. The implementation is feasible in the short-term. The idea is not scalable globally, and it lacks quantitative benefits. ",0,0
Automation of E-mail invoicing and customer processing (getting rid of outlook group mailboxes and Migrating to CRM styled workflow),"The project is related to costumer processing and information delivery. 

A huge weak point for many of the customer facing teams, is that our way of dealing with interactions is based on an outdated form of email processing. 

The goal would be to migrate/automate using either  a CRM like MS Dynamics and/or Power Automate. help assign and monitor tasks and communications without the need of outlook as a tool facing our agents. ",The Use of a CRM type processing will mitigate the need for Outlook to be used as the main tool for processing email interactions. (outlook has hard limitations regarding group mailboxes) by using a CRM we can keep email accounts just for sending and receiving email while the data is stored in the crm Platform. Initially this requires allot of setup but it will free up allot of cash in time and customer satisfaction.   ,EMEA,1000000,OTC,Process Efficiency,1,0,0,4,2,5,8,4,  ,  ,  ,  ,  ,4,3,5,4, This idea is disruptive as it proposes to migrate from an outdated email processing system to a CRM platform. The implementation is not too complex and it can be scaled globally. The benefits include better customer satisfaction and freeing up cash in the long term. ,0,0
Payment terms - Extension,"During our daily work we observed that sometimes our efforts and performing our tasks is not enough. We need to think more out of the box to reach some goals. We noticed that many of our non-critical suppliers have payment terms from 0 to 15 days net. The number of such suppliers is significant. Together with the Procurement Team we are working on extending the payment terms for those vendors to K-C standard ones, for example, 60 days net.",The new payment terms will improve our DPO significantly and increase our global statistics.,EMEA,1000000,PTP,AP-Payment Terms,1,105244,0,4,3,8,4,5,  ,  ,  ,  ,  ,2,5,5,4, This idea is not very disruptive but it is easy to implement and can be scaled globally. The benefits include improving DPO and increasing global statistics. ,0,0
PO acknowledge prior to invoice posting,"It&rsquo;s difficult to define benefit straight away, as this solution advantages are multilayer.

1. Taking into consideration that KC NA have monthly 0,6% price MRBRs results in price change we can suspect that at least 50% of them causes value increase. Estimating price change at level of 5%, each PO affected is being significantly overpaid.

2. Time and money saved for mills and associates as PO has to be acknowledged

3. Invaluable decrease in risk production continuity.","1.All POs acknowledged

2. Better liabilities forecast

3. Decrease of unexpected spend increase.

4. Increase in associates time could be use for other cashing activities

5. Reduction risk of misschose vendor to 0

6. Delivery always on time, remained possibility to source change in case of failure.",EMEA,0,PTP,AP-PO Management,1,0,0,7,3,8,4,5,  ,  ,  ,  ,  ,4,3,5,5," This idea is disruptive as it proposes to acknowledge POs prior to invoice posting, which can lead to significant cost savings. The implementation is not too complex and it can be scaled globally. The benefits include better liabilities forecast, reduction in unexpected spend, and increase in associates' time for other activities. ",0,0
Blockchain technology in supply chain,"Blockchain technology in supply chain is known solution implemented in Company as Coca-cola (based on Etherum chain). It's easy way to have compliant and detailed data base about products (including i.e. country of origin, quality etc.) Blockchain let departament responsible ot easy track delivery, increase sales volume thanks to better direct marketing adjustment and profiling. It's sustainable, compliant way to manage whole supply chain, production and sales cycle.","Increase company growth, better products quality, more smooth process, process gaps covered, full control and each steps, money savings due to the fact that less people is needed to work as process is automatized.",EMEA,0,RTR,Intercompany,1,0,0,10,1,6,2,5,  ,  ,  ,  ,  ,5,4,5,5," This idea is very disruptive as it proposes to use blockchain technology in the supply chain, which can lead to better product quality, smoother processes, and cost savings. The implementation is a bit complex but it can be scaled globally. The benefits include better direct marketing adjustment, profiling, and full control of each step. ",0,0
Intercompany Inventory Posting Automation,"Automate the IC inventory posting by taking the advantage that all the information required is in SAP, this would be in compliance with legal requirements by country and also considering the archiving piece, it will have a monitoring report to have full visibility of which invoices are getting posted right away, and for the ones not posted indicate the reason.","- IC Inventory posting automation and standardization

- Compliance with local legislation

- Full visibility of the inventory posting activity at real time

- Quickly identification of potential bottleneck and correction action trigger faster",LAO,0,RTR,Intercompany,1,0,0,2,1,10,3,4,  ,  ,  ,  ,  ,3,4,5,4," This idea is somewhat disruptive as it proposes to automate the IC inventory posting process, which can lead to standardization and compliance with local legislation. The implementation is not too complex and it can be scaled globally. The benefits include full visibility of inventory posting activity in real-time and quicker identification of potential bottlenecks. ",0,0
Check Elimination LAO,"In LAO we still use checks as a payment method, making the process very rudimentary as manual signatures form leaders are required for manual checks and delivery fees are being payed by the company.

More than 7000 checks are issued anually generating a cost of USD $65,000 for the company only for check issuance. Check payments can be done via transfer since we already have the platforms and tools to complete this process. ","All payments will be done via transfer reducing anual costs

Centralized Operations

Easier, leaner and faster operations, no manual signatures and messanger services will be required",LAO,65000,Treasury Ops,Treasury Ops,1,0,0,5,5,6,2,5,  ,  ,  ,  ,  ,3,4,4,4, This idea is not very disruptive but it is easy to implement and can be scaled globally. The benefits include reducing annual costs and making operations easier and faster. ,0,0
Bank Fees LAO,Proposal to change payroll bank accounts of at least 300 employees in Argentina from local to global banks (BBVA or Santander) in order to reduce the bank fees generated by the collection in cash from 0.75% to 0.45%.,"Bank fees savings of $150k USD per year, reducing the impact of the bank fees spending in the OP of Argentina.",LAO,150000,Treasury Ops,Treasury Ops,1,5336,299712,2,7,9,2,5,  ,  ,  ,  ,  ,3,4,2,4," This idea proposes to change payroll bank accounts of at least 300 employees in Argentina from local to global banks in order to reduce the bank fees generated by the collection in cash. While this idea is not entirely new, it proves a different and upgraded way for a current state. The ease of implementation is not very high as it requires changing bank accounts for a large number of employees, but it is not impossible to execute. The geographical scalation is not very high as it only applies to Argentina. The benefits are significant, with bank fees savings of $150k USD per year, reducing the impact of the bank fees spending in the OP of Argentina. ",0,0
Cash Power BI Tool,"In the past, Treasury used a combination of Excel, PowerPoint, and third-party systems to analyze and present their data; now you will have it available in a more dynamic and interactive tool in Power BI to find information related to Cash Balances, Cash Forecast, Funding needs, Primary Working Capital, Balance Sheet Exposure and Bank Fees spending.","Power BI Tool to find information related to Cash Balances, Cash Forecast, Funding needs, Primary Working Capital, Balance Sheet Exposure and Bank Fees spending.",LAO,0,Treasury Ops,Treasury Ops,1,0,0,2,3,5,2,3,  ,  ,  ,  ,  ,2,5,4,3," This idea proposes to use Power BI to analyze and present data related to Cash Balances, Cash Forecast, Funding needs, Primary Working Capital, Balance Sheet Exposure and Bank Fees spending. While this idea is not very disruptive, it is very easy to implement as it only requires using Power BI. The geographical scalation is high as it can be used worldwide. The benefits are moderate, with a Power BI Tool to find information related to Cash Balances, Cash Forecast, Funding needs, Primary Working Capital, Balance Sheet Exposure and Bank Fees spending. ",0,0
Virtual Card Account,"Using Virtual card for payment transactions to our vendors, this can enable us the flexibility by extending the DPO and allowing KC the ability to pay suppliers early while maintaining a net extension of DPO.

 ","Improve working capital, rebate from bank and improve on process efficiency. Rebates from bank can be ranging from 5% - 21% depending on the total spends.",APAC,888888,PTP,Credit Card Programs,1,0,60491,3,3,8,6,5,  ,  ,  ,  ,  ,3,3,4,4," This idea proposes to use virtual cards for payment transactions to vendors, which can enable flexibility by extending the DPO and allowing KC the ability to pay suppliers early while maintaining a net extension of DPO. While this idea is not entirely new, it proves a different and upgraded way for a current state. The ease of implementation is moderate as it requires implementing virtual cards for payment transactions. The geographical scalation is high as it can be used worldwide. The benefits are significant, with improved working capital, rebates from the bank, and improved process efficiency. Rebates from the bank can range from 5% - 21% depending on the total spends. ",0,0
APAC Payment Term Extension- Future Delivery Items,"Data from Sept 2020 Blocked report showed 20% of blocked items are due to &ldquo;future delivery date&rdquo; (Top 3 reason) but invoice posting has been performed.  60% of the &ldquo;future delivery date&rdquo; appeared to be overdue based on net due date.70% involving third party transactions- Blocked team need to spend time to follow up once the &ldquo;future delivery date&rdquo; turn expired.Review contract &amp; term extension comparing due date aging (below 30 days, 30-60 days, 60-90 days, &gt;90 days) versus actual delivery date.",More realistic payment term instead of &ldquo;due immediately&rdquo; when good receipts are not performed at the warehouse.Monitor the average payable period to slow down cash outflows which significantly improve cash flow.,APAC,100000,PTP,AP-Payment Terms,1,673184,1036467,6,6,8,5,6,6,6,8,5,6,3,3,4,4," This idea proposes to review contracts and term extensions comparing due date aging versus actual delivery date. While this idea is not entirely new, it proves a different and upgraded way for a current state. The ease of implementation is moderate as it requires reviewing contracts and term extensions. The geographical scalation is high as it can be used worldwide. The benefits are significant, with a more realistic payment term instead of ""due immediately"" when good receipts are not performed at the warehouse. Monitoring the average payable period can slow down cash outflows, which significantly improves cash flow. ",0,0
